* Measurement data measured by REW V5.20.13
* Source: C:\Users\chsk9\Pictures\Samsung Flow\TRECENTO 2020 Live Sample 1 (by 이신렬) (KLIPPEL-Measured) L.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 26 오전 12:05:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\chsk9\Pictures\Samsung Flow\TRECENTO 2020 Live Sample 1 (by 이신렬) (KLIPPEL-Measured) L.csv Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,191 Hz log spaced
* Measurement: TRECENTO 2020 Live Sample
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1725.000000	28.716
1750.000000	28.952
1775.000000	29.186
1800.000000	29.407
1825.000000	29.621
1850.000000	29.841
1875.000000	30.078
1900.000000	30.327
1925.000000	30.578
1950.000000	30.821
1975.000000	31.054
2000.000000	31.279
2030.000000	31.546
2060.000000	31.813
2090.000000	32.080
2120.000000	32.349
2140.000000	32.527
2180.000000	32.874
2200.000000	33.040
2240.000000	33.346
2270.000000	33.552
2300.000000	33.737
2330.000000	33.907
2360.000000	34.060
2400.000000	34.237
2430.000000	34.343
2470.000000	34.442
2500.000000	34.479
2540.000000	34.488
2580.000000	34.469
2620.000000	34.415
2650.000000	34.354
2690.000000	34.259
2720.000000	34.179
2760.000000	34.067
2800.000000	33.956
2850.000000	33.818
2900.000000	33.681
2950.000000	33.564
3000.000000	33.464
3040.000000	33.389
3070.000000	33.337
3110.000000	33.275
3150.000000	33.223
3200.000000	33.160
3250.000000	33.103
3300.000000	33.068
3350.000000	33.071
3400.000000	33.100
3450.000000	33.153
3500.000000	33.232
3550.000000	33.349
3600.000000	33.502
3650.000000	33.681
3700.000000	33.889
3750.000000	34.120
3820.000000	34.508
3870.000000	34.820
3950.000000	35.292
4000.000000	35.577
4060.000000	35.925
4120.000000	36.227
4180.000000	36.452
4250.000000	36.607
4310.000000	36.661
4370.000000	36.635
4440.000000	36.519
4500.000000	36.343
4550.000000	36.151
4620.000000	35.843
4680.000000	35.544
4750.000000	35.156
4820.000000	34.736
4870.000000	34.393
4940.000000	33.863
5000.000000	33.446
5080.000000	32.925
5150.000000	32.442
5220.000000	32.001
5300.000000	31.552
5380.000000	31.207
5450.000000	30.946
5520.000000	30.725
5600.000000	30.566
5700.000000	30.483
5800.000000	30.530
5900.000000	30.668
6000.000000	30.948
6080.000000	31.247
6150.000000	31.520
6220.000000	31.798
6300.000000	32.100
6400.000000	32.422
6500.000000	32.688
6600.000000	32.855
6700.000000	32.921
6800.000000	32.914
6900.000000	32.795
7000.000000	32.589
7100.000000	32.349
7200.000000	32.087
7300.000000	31.846
7400.000000	31.646
7500.000000	31.489
7620.000000	31.403
7750.000000	31.446
7880.000000	31.554
8000.000000	31.676
8120.000000	31.758
8250.000000	31.696
8380.000000	31.481
8500.000000	31.034
8620.000000	30.443
8750.000000	29.651
8850.000000	28.884
9000.000000	27.722
9120.000000	26.638
9250.000000	25.429
9380.000000	24.372
9500.000000	23.448
9620.000000	22.630
9750.000000	21.871
9880.000000	21.222
10000.000000	20.704
10150.000000	20.169
10300.000000	19.819
10440.000000	19.667
10600.000000	19.654
10750.000000	19.767
10900.000000	19.974
11060.000000	20.289
11200.000000	20.668
11380.000000	21.278
11500.000000	21.715
11720.000000	22.516
11800.000000	22.797
12060.000000	23.559
12200.000000	23.931
12410.000000	24.426
12500.000000	24.601
12650.000000	24.845
12800.000000	25.011
13150.000000	25.116
13200.000000	25.092
13400.000000	24.878
13600.000000	24.500
13800.000000	23.944
14000.000000	23.192
14300.000000	21.689
14500.000000	20.488
14750.000000	18.801
15000.000000	16.879
15250.000000	15.054
15500.000000	13.485
15750.000000	11.985
16000.000000	10.378
16250.000000	9.167
16500.000000	8.387
16750.000000	7.837
17000.000000	7.577
17250.000000	7.550
17500.000000	7.718
17750.000000	8.032
18000.000000	8.414
18250.000000	8.876
18500.000000	9.361
18750.000000	9.823
19000.000000	10.244
