* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 29 ¿ÀÈÄ 10:13:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced
* Measurement: Harman IE 2019 v2 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1875.000000	78.665
1900.000000	78.492
1925.000000	78.318
1950.000000	78.143
1975.000000	77.970
2000.000000	77.804
2030.000000	77.620
2060.000000	77.446
2090.000000	77.273
2120.000000	77.102
2140.000000	76.990
2180.000000	76.768
2200.000000	76.658
2240.000000	76.441
2270.000000	76.284
2300.000000	76.131
2330.000000	75.981
2360.000000	75.840
2400.000000	75.672
2430.000000	75.556
2470.000000	75.405
2500.000000	75.298
2540.000000	75.169
2580.000000	75.050
2620.000000	74.933
2650.000000	74.851
2690.000000	74.753
2720.000000	74.685
2760.000000	74.597
2800.000000	74.519
2850.000000	74.451
2900.000000	74.395
2950.000000	74.340
3000.000000	74.291
3040.000000	74.258
3070.000000	74.236
3110.000000	74.210
3150.000000	74.192
3200.000000	74.182
3250.000000	74.182
3300.000000	74.184
3350.000000	74.193
3400.000000	74.211
3450.000000	74.235
3500.000000	74.262
3550.000000	74.293
3600.000000	74.333
3650.000000	74.377
3700.000000	74.423
3750.000000	74.469
3820.000000	74.535
3870.000000	74.583
3950.000000	74.661
4000.000000	74.711
4060.000000	74.775
4120.000000	74.841
4180.000000	74.908
4250.000000	74.987
4310.000000	75.057
4370.000000	75.127
4440.000000	75.210
4500.000000	75.281
4550.000000	75.341
4620.000000	75.425
4680.000000	75.497
4750.000000	75.580
4820.000000	75.663
4870.000000	75.722
4940.000000	75.804
5000.000000	75.872
5080.000000	75.954
5150.000000	76.023
5220.000000	76.092
5300.000000	76.172
5380.000000	76.252
5450.000000	76.324
5520.000000	76.394
5600.000000	76.471
5700.000000	76.561
5800.000000	76.647
5900.000000	76.733
6000.000000	76.830
6080.000000	76.927
6150.000000	77.021
6220.000000	77.115
6300.000000	77.221
6400.000000	77.348
6500.000000	77.474
6600.000000	77.601
6700.000000	77.736
6800.000000	77.884
6900.000000	78.039
7000.000000	78.197
7100.000000	78.364
7200.000000	78.545
7300.000000	78.735
7400.000000	78.924
7500.000000	79.111
7620.000000	79.330
7750.000000	79.564
7880.000000	79.798
8000.000000	80.020
8120.000000	80.254
8250.000000	80.514
8380.000000	80.777
8500.000000	81.023
8620.000000	81.278
8750.000000	81.559
8850.000000	81.776
9000.000000	82.105
9120.000000	82.373
9250.000000	82.666
9380.000000	82.961
9500.000000	83.234
9620.000000	83.510
9750.000000	83.809
9880.000000	84.104
10000.000000	84.366
10150.000000	84.674
10300.000000	84.968
10440.000000	85.240
10600.000000	85.551
10750.000000	85.842
10900.000000	86.133
11060.000000	86.444
11200.000000	86.714
11380.000000	87.059
11500.000000	87.288
11720.000000	87.699
11800.000000	87.840
12060.000000	88.271
12200.000000	88.494
12410.000000	88.826
12500.000000	88.967
12650.000000	89.199
12800.000000	89.429
13150.000000	89.956
13200.000000	90.029
13400.000000	90.309
13600.000000	90.580
13800.000000	90.847
14000.000000	91.107
14300.000000	91.474
14500.000000	91.712
14750.000000	92.010
15000.000000	92.325
15250.000000	92.675
15500.000000	93.038
15750.000000	93.409
16000.000000	93.810
16250.000000	94.256
16500.000000	94.727
16750.000000	95.212
17000.000000	95.734
17250.000000	96.309
17500.000000	96.916
17750.000000	97.537
18000.000000	98.190
18250.000000	98.900
18500.000000	99.639
18750.000000	100.387
19000.000000	101.155
19250.000000	101.954
19500.000000	102.762
19750.000000	103.508
